Program Title,Award Level,Code,Faculty,url
Infect. Diseases Intelligence,Masters Degree (Coursework),8362,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8362.html
Information Systems Management,Masters Degree (Coursework),8435,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8435.html
Information Technology,Masters Degree (Coursework),8543,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8543.html
Information Technology,Graduate Diploma,5543,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5543.html
Information Technology,Masters Degree (Coursework),9380,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9380.html
Int Pub Health/Pub Health,Masters Degree (Coursework),9043,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9043.html
Int Pub Hlth/Hlth Mgmt,Masters Degree (Coursework),9044,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9044.html
Int'l Law & Int'l Relations,Masters Degree (Coursework),9240,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9240.html
Int'l Law & Int'l Relations,Graduate Diploma,5760,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5760.html
Int'l Public Health (Extn),Masters Degree (Coursework),9051,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9051.html
International Business,Masters Degree (Coursework),8371,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8371.html
International Business/Global,Masters Degree (Coursework),8370,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8370.html
International Law and Security,Masters Degree (Coursework),9281,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9281.html
International Law and Security,Graduate Diploma,5281,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5281.html
International Public Health,Masters Degree (Coursework),9048,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9048.html
International Public Health,Graduate Certificate,7367,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7367.html
International Public Health,Graduate Diploma,5567,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5567.html
International Relations,Masters Degree (Coursework),8233,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8233.html
Interpreting,Masters Degree (Coursework),8202,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8202.html
Intl Pub Hlth(Extn)/Hlth Mngmt,Masters Degree (Coursework),9053,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9053.html
Intl Pub Hlth/Hlth Mngmt(Extn),Masters Degree (Coursework),9058,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9058.html
IntlPubHlth (Extn) / PubHlth,Masters Degree (Coursework),9052,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9052.html
IntlPubHlth/PubHlth(Extn),Masters Degree (Coursework),9054,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9054.html
Journalism and Communication,Masters Degree (Coursework),8232,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8232.html
Juris Doctor,Masters Degree (Coursework),9150,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9150.html
Landscape Architecture,Masters Degree (Coursework),8136,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8136.html
Law,Masters Degree (Coursework),9200,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9200.html
Law,Graduate Diploma,5740,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5740.html
"Law, Media & Journalism",Masters Degree (Coursework),9214,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9214.html
"Law, Media & Journalism",Graduate Diploma,5214,Faculty of Law,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5214.html
Logistics Management,Masters Degree (Coursework),8564,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8564.html
Management,Graduate Diploma,5950,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5950.html
Management - HK,Graduate Diploma,5945,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5945.html
Marine Science and Management,Masters Degree (Coursework),8271,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8271.html
Marketing,Masters Degree (Coursework),8423,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8423.html
Marketing,Graduate Certificate,7414,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7414.html
Materials Technology,Masters Degree (Coursework),8717,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8717.html
Mathematics,Masters Degree (Coursework),8719,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8719.html
Mathematics and Statistics,Graduate Diploma,5659,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5659.html
Mathematics and Statistics,Graduate Certificate,7659,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7659.html
Mine Geotechnical Engineering,Graduate Diploma,5059,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5059.html
Mine Geotechnical Engineering,Masters Degree (Coursework),8059,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8059.html
Mine Ventilation,Graduate Diploma,5046,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5046.html
Mining Engineering,Graduate Diploma,5335,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5335.html
Mining Engineering,Graduate Certificate,7335,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7335.html
Mining Engineering,Masters Degree (Coursework),8335,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8335.html
Ocular Therapeutics,Graduate Certificate,7436,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7436.html
Optometry and Vision Science,Masters Degree (Coursework),8073,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8073.html
Petroleum Engineering,Graduate Certificate,7343,Faculty of Engineering,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7343.html
Pharmaceutical Medicine,Masters Degree (Coursework),9060,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9060.html
Pharmaceutical Medicine,Graduate Certificate,7370,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7370.html
Pharmaceutical Medicine,Masters Degree (Coursework),9370,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9370.html
Pharmaceutical Medicine,Graduate Diploma,5504,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5504.html
Pharmaceutical Medicine,Graduate Diploma,5371,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5371.html
Physics for Teachers,Graduate Certificate,7440,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7440.html
Planning,Graduate Certificate,7147,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7147.html
Planning,Masters Degree (Coursework),8147,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8147.html
PR and Advertising,Masters Degree (Coursework),8281,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8281.html
PR and Advertising/Design,Masters Degree (Coursework),8234,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8234.html
Professional Accounting,Masters Degree (Coursework),8409,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8409.html
Professional Accounting (Ext),Masters Degree (Coursework),8415,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8415.html
Project Management,Masters Degree (Coursework),8595,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8595.html
Property and Development,Masters Degree (Coursework),8127,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8127.html
Property and Development,Graduate Certificate,7127,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7127.html
Psychology (Clinical),Masters Degree (Coursework),8256,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8256.html
Psychology (Forensic),Masters Degree (Coursework),8257,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8257.html
Psychology (Organisational),Masters Degree (Coursework),8258,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8258.html
Pub Hlth/Hlth Management(Extn),Masters Degree (Coursework),9057,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9057.html
Publ Hlth (Extn)/Hlth Managmnt,Masters Degree (Coursework),9056,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9056.html
Public Health,Graduate Certificate,7368,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7368.html
Public Health,Graduate Diploma,5507,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5507.html
Public Health,Masters Degree (Coursework),9045,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9045.html
Public Health (Extn),Masters Degree (Coursework),9046,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9046.html
Public Health (International),Masters Degree (Coursework),9040,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9040.html
Public Health/HealthManagement,Masters Degree (Coursework),9047,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9047.html
Public Policy and Governance,Masters Degree (Coursework),8259,Faculty of Arts&Social Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8259.html
Reproductive Medicine,Masters Degree (Coursework),9065,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/9065.html
Reproductive Medicine,Graduate Certificate,7379,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7379.html
Reproductive Medicine,Graduate Diploma,5508,Faculty of Medicine,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5508.html
Risk Management,Masters Degree (Coursework),8428,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8428.html
Science Grad Dip (Research),Graduate Diploma,5304,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5304.html
Security & Defence Management,Masters Degree (Coursework),8573,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8573.html
Social Impact,Graduate Certificate,7357,UNSW Business School,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7357.html
Space Engineering,Masters Degree (Coursework),8622,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8622.html
Space Operations,Masters Degree (Coursework),8624,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8624.html
Special Operations,Masters Degree (Coursework),8632,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8632.html
Statistics,Masters Degree (Coursework),8750,Faculty of Science,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8750.html
Strategic People Management,Masters Degree (Coursework),8563,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8563.html
Strategy and Security,Masters Degree (Coursework),8572,UNSW Canberra at ADFA,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8572.html
Sustainable Built Environment,Graduate Diploma,5132,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/5132.html
Sustainable Built Environment,Masters Degree (Coursework),8132,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/8132.html
Sustainable Built Environment,Graduate Certificate,7332,Faculty of Built Environment,http://legacy.handbook.unsw.edu.au/postgraduate/programs/2017/7332.html
